Date,Last,Open,Max,Min,Volume, variation (%)
26.10.2022,7870.6,7826.4,7877.9,7756.6,186.58,0.97
27.10.2022,7921.1,7846.9,7944.3,7798.9,202.34,0.64
28.10.2022,7916.5,7859.6,7916.5,7832.6,185.93,-0.06
31.10.2022,7956.5,7913.6,7958.1,7871.7,164.83,0.51
01.11.2022,7999,8011.8,8073.9,7971.8,146.53,0.53
02.11.2022,7968.6,8017.8,8018.2,7960.6,144.93,-0.38
03.11.2022,7868.9,7897.5,7897.5,7798.4,140.56,-1.25
04.11.2022,7942.7,7908.5,8006,7830.6,197.13,0.94
07.11.2022,7962.3,7910.5,7990,7893.2,138.36,0.25
08.11.2022,7998.9,7942.3,8005.8,7922,120.2,0.46
09.11.2022,8040.4,7983.4,8061.6,7968.1,161.11,0.52
10.11.2022,8133.2,8004,8176,7975.1,256.12,1.15
11.11.2022,8098.1,8178.7,8178.7,8073.8,218,-0.43
14.11.2022,8166.5,8123.2,8210.8,8110.4,142.67,0.84
15.11.2022,8188.4,8161,8192.1,8117.3,182.29,0.27
16.11.2022,8101.4,8175.1,8188.7,8075,163.76,-1.06
17.11.2022,8040.7,8105.1,8123.2,7986.1,139.5,-0.75
18.11.2022,8127.8,8107,8127.8,8048.5,178.69,1.08
21.11.2022,8188.4,8102.9,8198.5,8100.5,155.12,0.75
22.11.2022,8325,8203.3,8345.6,8200.3,215.62,1.67
23.11.2022,8331.2,8338.8,8344,8288.4,154.54,0.07
24.11.2022,8388.1,8341.3,8412.5,8339.2,137.79,0.68
25.11.2022,8416.6,8391.7,8425.5,8378.2,135.91,0.34
28.11.2022,8323.2,8380.7,8396.4,8316.7,125.89,-1.11
29.11.2022,8322.1,8348.5,8354.5,8282.8,145.89,-0.01
30.11.2022,8363.2,8350.4,8364.6,8304.4,325.06,0.49
01.12.2022,8407.9,8426.2,8469,8381.8,209.72,0.53
02.12.2022,8382.6,8390,8414.1,8342.3,146.28,-0.3
05.12.2022,8370.1,8372.8,8395.7,8358.8,103.86,-0.15
06.12.2022,8331.9,8332.6,8355.9,8296.4,123.95,-0.46
07.12.2022,8290.5,8308.1,8344,8279.8,129.31,-0.5
08.12.2022,8225.2,8307.9,8308.6,8225.2,118.77,-0.79
09.12.2022,8289.2,8262.9,8293.7,8194.9,131.66,0.78
12.12.2022,8258.9,8260.5,8270.2,8222.5,116.66,-0.37
13.12.2022,8327.7,8266,8415.7,8213.2,206.58,0.83
14.12.2022,8360.6,8322.4,8360.6,8297.9,160.33,0.4
15.12.2022,8218.8,8314.8,8332.4,8195.9,216.85,-1.7
16.12.2022,8112.5,8188.8,8192.1,8079.8,387.74,-1.29
19.12.2022,8136.8,8122.3,8180.3,8109.4,129.23,0.3
20.12.2022,8185.2,8080.3,8216.9,8059.5,181.95,0.59
21.12.2022,8302.3,8220,8312.2,8201.7,146.34,1.43
22.12.2022,8272.1,8314.4,8338.6,8257.6,122.26,-0.36
23.12.2022,8269.1,8280.3,8313.7,8236.1,103.24,-0.04
27.12.2022,8270.1,8307.4,8332.5,8266.8,91.61,0.01
28.12.2022,8258.5,8275.4,8319.4,8252.3,97.67,-0.14
29.12.2022,8318.3,8237.6,8321.9,8208.7,117.2,0.72
30.12.2022,8229.1,8290.3,8290.4,8221.7,121.41,-1.07
02.01.2023,8369.7,8297.9,8384.9,8283.7,92.19,1.71
03.01.2023,8397.4,8366.9,8454.3,8327.4,164.67,0.33
04.01.2023,8559.8,8443.1,8560.5,8442.1,206.75,1.93
05.01.2023,8607.6,8530.2,8618.9,8527.7,182.44,0.56
06.01.2023,8701.1,8615,8701.1,8589.2,162.16,1.09
09.01.2023,8694.9,8692.4,8721.6,8661.4,215.67,-0.07
10.01.2023,8712.7,8669.3,8724.5,8666.7,147.72,0.2
11.01.2023,8726.3,8721.3,8762.9,8700.7,166.06,0.16
12.01.2023,8828.1,8738.6,8849.7,8735.2,203.51,1.17
13.01.2023,8881.7,8836.7,8918.4,8828.7,197.13,0.61
16.01.2023,8871.1,8896.8,8918.2,8847.1,125.05,-0.12
17.01.2023,8890.4,8863.7,8916.8,8833.4,145.66,0.22
18.01.2023,8933.3,8910.4,8988.9,8909.5,202.92,0.48
19.01.2023,8793.1,8891.3,8894.4,8726.7,236.2,-1.57
20.01.2023,8918.2,8829.4,8918.2,8828.9,188.97,1.42
23.01.2023,8944.1,8925.2,8976.5,8909.9,134.69,0.29
24.01.2023,8967.1,8953.7,8978.1,8906,123.86,0.26
25.01.2023,8957.5,8961.6,8968.3,8905,166.33,-0.11
26.01.2023,9035.6,9003.1,9054.5,8995.3,304.45,0.87
27.01.2023,9060.2,9048.5,9082.8,9022.3,201.02,0.27
30.01.2023,9049.3,9045.8,9066.1,9011.4,152.78,-0.12
31.01.2023,9034,9052.2,9069.9,8994,239.32,-0.17
01.02.2023,9098.1,9047.3,9126.6,9046.2,236.08,0.71
02.02.2023,9229.7,9145.5,9281.4,9133.1,364.81,1.45
03.02.2023,9225.6,9213.9,9248.5,9155.6,297.61,-0.04
06.02.2023,9159.2,9175.5,9198.6,9124.8,148.03,-0.72
07.02.2023,9172.4,9165.9,9204.3,9149.8,145.45,0.14
08.02.2023,9227.3,9224,9277.7,9200,181.82,0.6
09.02.2023,9243.5,9270.6,9296.3,9243.5,142.05,0.18
10.02.2023,9117.4,9213.8,9214.5,9069.6,179.66,-1.36
13.02.2023,9210.3,9135.1,9217.2,9120.7,108.84,1.02
14.02.2023,9263.2,9234.8,9311.6,9231.5,153.03,0.57
15.02.2023,9294.8,9272.3,9313.5,9258.7,124.53,0.34
16.02.2023,9327.3,9338.2,9362.8,9291.4,170.12,0.35
17.02.2023,9333,9275.1,9363.1,9240.8,168.39,0.06
20.02.2023,9281.3,9352.7,9369.1,9273.9,101.22,-0.55
21.02.2023,9252.1,9254.5,9286.1,9195.9,116.05,-0.31
22.02.2023,9172.7,9219.1,9222.6,9118.5,154.73,-0.86
23.02.2023,9231.6,9184.3,9253.9,9179.5,144.01,0.64
24.02.2023,9201.5,9256.6,9314.5,9194.4,254.03,-0.33
27.02.2023,9314.3,9252,9351.7,9250.5,150.06,1.23
28.02.2023,9394.6,9304.2,9442.8,9279.6,306.11,0.86
01.03.2023,9322.9,9420.9,9453.8,9307.4,187.24,-0.76
02.03.2023,9327.3,9293,9336.2,9246.1,157.35,0.05
03.03.2023,9464.2,9358.6,9472.2,9357,161.26,1.47
06.03.2023,9511,9498.8,9524.6,9441.8,145.46,0.49
07.03.2023,9411.1,9503.1,9528.3,9408.5,159.2,-1.05
08.03.2023,9466.1,9387,9480.9,9369.4,123.51,0.58
09.03.2023,9423.2,9454.9,9457.4,9388.9,116.72,-0.45
10.03.2023,9285,9246.6,9296.5,9182.7,279.92,-1.47
13.03.2023,8958.9,9272.3,9273.6,8894.5,426.52,-3.51
14.03.2023,9159,8936,9181,8914.6,300.03,2.23
15.03.2023,8759.1,9161.8,9169.7,8736.5,422.53,-4.37
16.03.2023,8890.2,8927.5,8984.6,8731,324.58,1.5
17.03.2023,8719.3,8934.7,9027.4,8655.3,477.66,-1.92
20.03.2023,8833.1,8668.7,8875.3,8501.2,359.82,1.31
21.03.2023,9049.4,8928.4,9085.4,8918.8,248.78,2.45
22.03.2023,9009.3,9037.4,9100.2,9001.7,197.22,-0.44
23.03.2023,8970,8967.7,9027.7,8921.6,155.23,-0.44
24.03.2023,8792.5,8931,8933,8703.3,289.52,-1.98
27.03.2023,8906.1,8897.6,8935.7,8839.8,187.28,1.29
28.03.2023,8944.3,8985.2,9019.1,8911,153.71,0.43
29.03.2023,9070.7,8985.8,9075.3,8962.4,131.05,1.41
30.03.2023,9207.1,9137,9226.4,9131.2,149.63,1.5
31.03.2023,9232.5,9234.1,9254.5,9183.8,178.94,0.28
03.04.2023,9157.4,9214.6,9233.5,9135.5,129.26,-0.81
04.04.2023,9183.2,9174.1,9257.5,9168.5,120.08,0.28
05.04.2023,9254.6,9202.8,9254.6,9196.5,140.13,0.78
06.04.2023,9312.3,9249.5,9323.5,9232.6,128.32,0.62
11.04.2023,9237.7,9352.5,9378.4,9227.1,154.54,-0.8
12.04.2023,9278.7,9258.8,9324.6,9253.6,130.92,0.44
13.04.2023,9310,9284.1,9320.2,9238.7,109.72,0.34
14.04.2023,9362.9,9337.5,9375.4,9313.2,152.45,0.57
17.04.2023,9378.5,9387.4,9413.4,9361,154.77,0.17
18.04.2023,9421.9,9409.4,9445.4,9381.5,143.02,0.46
19.04.2023,9494.8,9416.4,9498.7,9405.4,117.66,0.77
20.04.2023,9450.9,9505.5,9540.5,9425,153.37,-0.46
21.04.2023,9415.6,9434.1,9436.6,9366.3,205.59,-0.37
24.04.2023,9406.4,9382.5,9433.9,9362.9,99.65,-0.1
25.04.2023,9290.3,9349.5,9352.1,9267.6,167.26,-1.23
26.04.2023,9293.7,9259.5,9297.7,9193.5,165.8,0.04
27.04.2023,9314.6,9255.1,9334.2,9226.4,128.41,0.22
28.04.2023,9241,9334.6,9338.9,9159.8,233.88,-0.79
02.05.2023,9082,9248.2,9264.9,9069.1,172.43,-1.72
03.05.2023,9076.7,9118.4,9132.2,9035.1,136.59,-0.06
04.05.2023,9043.6,9050.6,9056.6,8967.3,150.28,-0.36
05.05.2023,9147.3,9097.3,9147.3,9047.7,144.36,1.15
08.05.2023,9211.3,9162.2,9221.8,9157.9,81.67,0.7
09.05.2023,9183.2,9202.3,9219.5,9130.2,113.46,-0.31
10.05.2023,9167.7,9219.4,9223.3,9143.8,103.62,-0.17
11.05.2023,9182.8,9175.4,9215.1,9118,139.07,0.16
12.05.2023,9234.1,9218,9276.9,9213.9,106.39,0.56
15.05.2023,9201.5,9269.3,9279.5,9162.3,92.02,-0.35
16.05.2023,9191.4,9181,9241.9,9174.9,91.13,-0.11
17.05.2023,9211.6,9148.2,9218.6,9125.7,110.93,0.22
18.05.2023,9213.1,9247.3,9282.2,9202,105.2,0.02
19.05.2023,9251.5,9247.2,9309.4,9222.9,127.28,0.42
22.05.2023,9305,9242.8,9326.6,9241.9,96.21,0.58
23.05.2023,9267,9304.5,9305,9260.1,82.29,-0.41
24.05.2023,9163.5,9191.3,9193.2,9128.8,108.84,-1.12
25.05.2023,9116.1,9169.5,9188.1,9116.1,123.79,-0.52
26.05.2023,9191.1,9137.8,9210.9,9048.2,99.2,0.82
29.05.2023,9180.1,9263.1,9271.1,9146.6,59.24,-0.12
30.05.2023,9167.5,9189,9248.3,9156,111.5,-0.14
31.05.2023,9050.2,9096.5,9183.4,9034.9,401.51,-1.28
01.06.2023,9167.5,9130.3,9181.6,9105.9,109.88,1.3
02.06.2023,9317.3,9216.2,9324.8,9204.2,132.6,1.63
05.06.2023,9289.1,9352,9382.4,9276.1,102.11,-0.3
06.06.2023,9310.8,9266,9310.8,9242.3,94.77,0.23
07.06.2023,9359.8,9296.3,9401.8,9294.9,100.91,0.53
08.06.2023,9338.3,9358.7,9427.6,9331.7,109.45,-0.23
09.06.2023,9309.7,9345.7,9370.4,9288.6,84.88,-0.31
12.06.2023,9344.4,9345.9,9382.1,9328.5,95.66,0.37
13.06.2023,9333.7,9357.7,9357.7,9261.1,121.83,-0.11
14.06.2023,9432.8,9333.7,9468.1,9315.9,155.57,1.06
15.06.2023,9430.8,9404.1,9453.7,9389.3,123.38,-0.02
16.06.2023,9495,9465,9580.8,9428.5,384.18,0.68
19.06.2023,9431.9,9457.8,9503.2,9412.1,87.89,-0.66
20.06.2023,9439.8,9418.3,9469.1,9401,87.72,0.08
21.06.2023,9436.4,9431.2,9463.5,9415.3,101.63,-0.04
22.06.2023,9364.7,9365.5,9365.9,9284.2,108.51,-0.76
23.06.2023,9265.8,9305.6,9334.1,9239.7,124.53,-1.06
26.06.2023,9274,9283.1,9306.9,9198.7,110.99,0.09
27.06.2023,9393,9309.2,9399.5,9287.3,120.55,1.28
28.06.2023,9481.3,9421,9489.7,9414,126.19,0.94
29.06.2023,9510.6,9486.2,9524.1,9479,103.48,0.31
30.06.2023,9593,9541.4,9642.3,9534.6,172.93,0.87
03.07.2023,9644.8,9604.3,9658.6,9598.6,119.15,0.54
04.07.2023,9588.4,9635,9649.8,9580.9,97.86,-0.58
05.07.2023,9486.3,9541.7,9567.9,9470.7,116.02,-1.06
06.07.2023,9285,9384.6,9435.9,9261.2,142.18,-2.12
07.07.2023,9248.8,9246.9,9258.6,9169.8,114.92,-0.39
10.07.2023,9252.9,9210.5,9282.5,9183,91.45,0.04
11.07.2023,9331.1,9295.8,9333.7,9226.7,100.28,0.85
12.07.2023,9453.7,9356.5,9464.8,9344.6,155.44,1.31
13.07.2023,9478.7,9459.1,9523.6,9444.8,118.16,0.26
14.07.2023,9438.3,9468.9,9507.2,9437.8,105.13,-0.43
17.07.2023,9438,9414.9,9483.3,9402.6,77.44,0
18.07.2023,9455.7,9446.5,9471.8,9388.9,88.49,0.19
19.07.2023,9451.8,9482.8,9532.4,9433.1,92.23,-0.04
